CONTAINER ID   IMAGE                                                   COMMAND                  CREATED        STATUS                   PORTS                                                                                                                                                                          NAMES
4c3a654f145e   vulhub/coldfusion:11u3                                  "bash -c '/opt/coldf…"   7 hours ago    Up 7 hours               0.0.0.0:8313->8500/tcp, [::]:8313->8500/tcp                                                                                                                                    cve-2017-3066-coldfusion-1
71aa478d7a84   vulhub/coldfusion:2018.0.15                             "sh /opt/startup/sta…"   7 hours ago    Up 7 hours (healthy)     8018/tcp, 45564/tcp, 0.0.0.0:8301->5005/tcp, [::]:8301->5005/tcp, 0.0.0.0:8302->8500/tcp, [::]:8302->8500/tcp                                                                  cve-2023-26360-coldfusion-1
aa060df0dd77   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (healthy)     0.0.0.0:8268->5555/tcp, [::]:8268->5555/tcp                                                                                                                                    cve-2020-11978-flower-1
90dea5952736   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (unhealthy)                                                                                                                                                                                  cve-2020-11978-airflow-worker-1
1043b06880ff   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (healthy)     0.0.0.0:8179->8080/tcp, [::]:8179->8080/tcp                                                                                                                                    cve-2020-11978-airflow-webserver-1
618738aac83e   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (unhealthy)                                                                                                                                                                                  cve-2020-11978-airflow-scheduler-1
d47eadbdea6c   postgres:13-alpine                                      "docker-entrypoint.s…"   7 hours ago    Up 7 hours (healthy)     5432/tcp                                                                                                                                                                       cve-2020-11978-postgres-1
dd27db323f27   redis:5-alpine                                          "docker-entrypoint.s…"   7 hours ago    Up 7 hours (healthy)     6379/tcp                                                                                                                                                                       cve-2020-11978-redis-1
d11d891d1214   vulhub/couchdb:3.2.1                                    "/docker-entrypoint.…"   7 hours ago    Up 7 hours               0.0.0.0:8244->4369/tcp, [::]:8244->4369/tcp, 0.0.0.0:8245->5984/tcp, [::]:8245->5984/tcp, 0.0.0.0:8246->9100/tcp, [::]:8246->9100/tcp                                          cve-2022-24706-couchdb-1
c372364a571b   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (healthy)     0.0.0.0:8257->5555/tcp, [::]:8257->5555/tcp                                                                                                                                    cve-2020-11981-flower-1
417d32f231ff   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (healthy)     0.0.0.0:8178->8080/tcp, [::]:8178->8080/tcp                                                                                                                                    cve-2020-11981-airflow-webserver-1
9bba2f785564   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (unhealthy)                                                                                                                                                                                  cve-2020-11981-airflow-scheduler-1
5617eb3ee0fc   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   7 hours ago    Up 7 hours (unhealthy)                                                                                                                                                                                  cve-2020-11981-airflow-worker-1
ce175a7b9ce7   redis:5-alpine                                          "docker-entrypoint.s…"   7 hours ago    Up 7 hours (healthy)     0.0.0.0:8256->6379/tcp, [::]:8256->6379/tcp                                                                                                                                    cve-2020-11981-redis-1
40af9cb8dfd7   postgres:13-alpine                                      "docker-entrypoint.s…"   7 hours ago    Up 7 hours (healthy)     5432/tcp                                                                                                                                                                       cve-2020-11981-postgres-1
d0c21c1ec89a   vulhub/activemq:5.17.3                                  "/opt/activemq/bin/a…"   7 hours ago    Up 7 hours               1883/tcp, 5672/tcp, 61613-61614/tcp, 0.0.0.0:8264->5005/tcp, [::]:8264->5005/tcp, 0.0.0.0:8345->8161/tcp, [::]:8345->8161/tcp, 0.0.0.0:8263->61616/tcp, [::]:8263->61616/tcp   cve-2023-46604-activemq-1
d816c8f53969   vulhub/activemq:5.11.1                                  "/bin/sh -c 'bin/act…"   7 hours ago    Up 7 hours               0.0.0.0:8327->8161/tcp, [::]:8327->8161/tcp, 0.0.0.0:8326->61616/tcp, [::]:8326->61616/tcp                                                                                     cve-2015-5254-activemq-1
c316d9906591   postgres:12.8-alpine                                    "docker-entrypoint.s…"   3 weeks ago    Up 5 days                5432/tcp                                                                                                                                                                       cve-2022-26134-db-1
60010431bce0   vxcontrol/pentagi:latest                                "/opt/pentagi/bin/en…"   5 weeks ago    Up 6 days                0.0.0.0:8443->8443/tcp                                                                                                                                                         pentagi
49f875bd80ad   quay.io/prometheuscommunity/postgres-exporter:v0.16.0   "/bin/postgres_expor…"   5 weeks ago    Up 6 days                127.0.0.1:9187->9187/tcp                                                                                                                                                       pgexporter
46b6ff2f0b5d   vxcontrol/scraper:latest                                "sh -c '/usr/local/b…"   5 weeks ago    Up 6 days                3000/tcp, 127.0.0.1:9443->443/tcp                                                                                                                                              scraper
be95db83bfd4   vxcontrol/pgvector:latest                               "docker-entrypoint.s…"   5 weeks ago    Up 6 days                127.0.0.1:5432->5432/tcp                                                                                                                                                       pgvector
b7b49be5c887   mysql:5.7                                               "docker-entrypoint.s…"   6 weeks ago    Up 5 days                3306/tcp, 33060/tcp                                                                                                                                                            cnvd-2024-15077-db-1
cff675bb7dad   mysql:5.7                                               "docker-entrypoint.s…"   6 weeks ago    Up 5 days                3306/tcp, 33060/tcp                                                                                                                                                            cve-2023-4450-db-1
4734107a5ad2   postgres:13-alpine                                      "docker-entrypoint.s…"   6 weeks ago    Up 5 days (healthy)      5432/tcp                                                                                                                                                                       cve-2020-17526-postgres-1
56d6b3dcd5fc   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   2 months ago   Up 5 days (healthy)      0.0.0.0:8254->5555/tcp, [::]:8254->5555/tcp                                                                                                                                    cve-2020-17526-flower-1
883057a2feed   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   2 months ago   Up 5 days (unhealthy)                                                                                                                                                                                   cve-2020-17526-airflow-scheduler-1
141ded98f2bb   vulhub/airflow:1.10.10                                  "/usr/bin/dumb-init …"   2 months ago   Up 5 days (unhealthy)                                                                                                                                                                                   cve-2020-17526-airflow-worker-1
0e0c450102ee   redis:5-alpine                                          "docker-entrypoint.s…"   2 months ago   Up 5 days (healthy)      6379/tcp                                                                                                                                                                       cve-2020-17526-redis-1
12ab77d5a7dd   bitnami/etcd:3.4.15                                     "/opt/bitnami/script…"   2 months ago   Up 5 days                0.0.0.0:2379->2379/tcp, [::]:2379->2379/tcp, 2380/tcp                                                                                                                          cve-2020-13945-etcd-1
